"data","animale","specie","malattia","peso","dieta","veterinario"
"2021-11-30",1,"Southern black-backed gull","",53454,"","QAKVXG09Q42R293C"
"2021-12-30",1,"Southern black-backed gull","",53452,"","KVOXDR94O16L595F"
"2022-01-29",1,"Southern black-backed gull","",53456,"","ZUSDBT27S18I066Q"
"2022-02-28",1,"Southern black-backed gull","Influenza aviaria",53449,"No mangime per i prossimi 2 mesi solo Vegetali","FFNPLL70Q85Q417Y"
"2022-03-30",1,"Southern black-backed gull","",53458,"","IQCTNU06Z63Q898C"
"2022-04-29",1,"Southern black-backed gull","",53449,"","IMIZZV64U93B294I"
"2021-08-27",1,"Pygmy possum","",700914,"","QENHBQ79P95H124I"
"2021-09-26",1,"Pygmy possum","",700923,"","KUCTKZ61T24Y447T"
"2021-10-26",1,"Pygmy possum","",700908,"","XKDHSE52X77W080Z"
"2021-11-25",1,"Pygmy possum","",700912,"","OJUKSG65F46U287A"
"2021-12-25",1,"Pygmy possum","",700918,"","KAXJUP32M42L944Z"
"2022-01-24",1,"Pygmy possum","",700908,"","HKASFO52W74K212M"
"2022-02-23",1,"Pygmy possum","",700914,"","JWDPWX14W11D641Z"
"2022-02-27",1,"Pygmy possum","Encefalopatie spongiformi trasmissibili",700915,"Solo mangime medico per 4 settimane","HIJOOR58D37G603M"
"2022-03-29",1,"Pygmy possum","",700922,"","RRSPAR95S04V869K"
"2022-04-28",1,"Pygmy possum","",700905,"","WZANMN50R81D594P"
"2022-05-22",1,"Pygmy possum","Rinotracheite infettiva del bovino (IBR)",700920,"Mangime a base di Vegetali per 1 mese","AENIZK33V73S452W"
"2022-06-21",1,"Pygmy possum","",700907,"","GTRNQS12W82G871H"
"2022-07-21",1,"Pygmy possum","",700915,"","EURLCQ48T11L828X"
"2022-08-20",1,"Pygmy possum","",700916,"","KAXJUP32M42L944Z"
"2022-09-19",1,"Pygmy possum","",700912,"","UAYJOG77C56Q827R"
"2022-10-19",1,"Pygmy possum","",700913,"","ZQNFVZ88N58P737Y"
"2022-11-18",1,"Pygmy possum","",700911,"","IMIZZV64U93B294I"
"2022-12-18",1,"Pygmy possum","",700916,"","OPFLBG35E28T343X"
"2023-01-17",1,"Pygmy possum","",700909,"","ZUSDBT27S18I066Q"
"2023-02-16",1,"Pygmy possum","",700913,"","HUWCCJ71H63A894K"
"2023-03-18",1,"Pygmy possum","Salmonellosi aviarie non tifoidee",700907,"Solo mangime medico per 4 settimane","BXKXIK91F37M945W"
"2021-09-03",1,"Mynah common","",190682,"","HOINOQ93M20S623A"
"2021-10-03",1,"Mynah common","",190685,"","JSMTOX87J13M178N"
"2021-11-02",1,"Mynah common","",190691,"","JSMTOX87J13M178N"
"2021-12-02",1,"Mynah common","",190673,"","OVLOWK98S40H989D"
"2022-01-01",1,"Mynah common","",190679,"","LSXHKI99G45I261M"
"2022-01-31",1,"Mynah common","",190679,"","GQNGLA85E82M951E"
"2022-03-02",1,"Mynah common","",190677,"","CSURHY42I31P326H"
"2022-04-01",1,"Mynah common","",190683,"","QKSBYE86N59G823A"
"2022-05-01",1,"Mynah common","",190674,"","RZXHMF06C91C657B"
"2022-05-31",1,"Mynah common","",190684,"","GQNGLA85E82M951E"
"2022-06-30",1,"Mynah common","",190677,"","HTIZLM98F82A499K"
"2022-07-30",1,"Mynah common","",190682,"","HLZDCY93J51K599T"
"2022-08-29",1,"Mynah common","",190687,"","UNMMKP78I91B283B"
"2022-09-28",1,"Mynah common","West nile disease",190677,"No carne per 2 mesi","SDOZRQ24F16Z694M"
"2022-10-28",1,"Mynah common","",190685,"","TXIJSS76W27X542H"
"2022-11-27",1,"Mynah common","",190687,"","CRPRFQ00X25H955M"
"2022-12-27",1,"Mynah common","",190682,"","XUDUCK56J87E249D"
"2023-01-26",1,"Mynah common","",190675,"","QKSBYE86N59G823A"
"2023-02-25",1,"Mynah common","",190673,"","KAXJUP32M42L944Z"
"2023-03-27",1,"Mynah common","",190690,"","GRWXVM07K57A727R"
"2023-04-26",1,"Mynah common","",190687,"","UOQAQQ70P22F991L"
"2023-05-26",1,"Mynah common","",190674,"","AZVQRE05Q26F968B"
"2021-07-21",1,"Rattlesnake eastern diamondback","",635736,"","GRWXVM07K57A727R"
"2021-08-16",1,"Rattlesnake eastern diamondback","Salmonellosi aviarie non tifoidee",635730,"Dieta liquida per 1 mese e poi risentire il Veterinario Curante","XKDHSE52X77W080Z"
"2021-09-15",1,"Rattlesnake eastern diamondback","",635728,"","QENHBQ79P95H124I"
"2021-10-15",1,"Rattlesnake eastern diamondback","",635731,"","ICQQFH55P73G575S"
"2021-11-14",1,"Rattlesnake eastern diamondback","",635730,"","ICQQFH55P73G575S"
"2021-12-14",1,"Rattlesnake eastern diamondback","",635728,"","UEESQB52D01C783S"
"2022-01-13",1,"Rattlesnake eastern diamondback","",635743,"","VWVRAA05P61R641G"
"2022-02-12",1,"Rattlesnake eastern diamondback","",635736,"","VJJKWX04D16K852M"
"2022-03-14",1,"Rattlesnake eastern diamondback","",635739,"","SFFKVE90Y79P278X"
"2022-04-13",1,"Rattlesnake eastern diamondback","",635728,"","LXLDKR21X49J408B"
"2022-05-13",1,"Rattlesnake eastern diamondback","",635736,"","IQCTNU06Z63Q898C"
"2022-06-12",1,"Rattlesnake eastern diamondback","",635738,"","SBFNFR02Y66Y686T"
"2022-07-12",1,"Rattlesnake eastern diamondback","",635728,"","UBZOGR62T44A438F"
"2022-08-11",1,"Rattlesnake eastern diamondback","",635743,"","MCZSYA79M27W095Y"
"2022-09-10",1,"Rattlesnake eastern diamondback","",635728,"","RLWBSX60B89K307G"
"2022-10-10",1,"Rattlesnake eastern diamondback","",635743,"","BJKQKC10K57B486P"
"2022-10-21",1,"Rattlesnake eastern diamondback","Brucellosi",635741,"No carne per 2 mesi","UNMMKP78I91B283B"
"2022-11-20",1,"Rattlesnake eastern diamondback","",635745,"","XZARRT13S94C682F"
"2022-12-17",1,"Rattlesnake eastern diamondback","Encefalopatie spongiformi trasmissibili",635730,"Mangime a base di Vegetali per 1 mese","QAKVXG09Q42R293C"
"2021-11-01",1,"Onager","",238163,"","TAKTMI77H14V676G"
"2021-12-01",1,"Onager","",238171,"","LXLDKR21X49J408B"
"2021-12-31",1,"Onager","",238157,"","DGNSAO74I34G132X"
"2022-01-30",1,"Onager","",238158,"","AENIZK33V73S452W"
"2022-02-25",1,"Onager","Leishmania",238155,"Alternare vegetali a mangime medico","BJKQKC10K57B486P"
"2022-03-27",1,"Onager","",238163,"","BASQCC79U17X832X"
"2022-04-26",1,"Onager","",238154,"","DMWBFI26H80R696J"
"2022-05-26",1,"Onager","",238171,"","GTRNQS12W82G871H"
"2022-06-25",1,"Onager","",238157,"","OQMRLZ73Z10C877E"
"2022-07-05",1,"Onager","BSE (bovine spongiform encephalopathy)",238165,"No mangime per i prossimi 2 mesi solo Vegetali","JSMTOX87J13M178N"
"2022-08-04",1,"Onager","",238165,"","GTBBNJ43V27L642G"
"2022-09-03",1,"Onager","",238154,"","SBFNFR02Y66Y686T"
"2022-10-03",1,"Onager","",238162,"","WZANMN50R81D594P"
"2022-11-02",1,"Onager","",238171,"","BASQCC79U17X832X"
"2022-12-02",1,"Onager","",238163,"","IMIZZV64U93B294I"
"2023-01-01",1,"Onager","",238157,"","CSURHY42I31P326H"
"2021-09-18",1,"Arboral spiny rat","",647515,"","QKSBYE86N59G823A"
"2021-10-18",1,"Arboral spiny rat","",647517,"","OILQPX59S83T716L"
"2021-11-17",1,"Arboral spiny rat","",647524,"","GTBBNJ43V27L642G"
"2021-12-17",1,"Arboral spiny rat","Influenza aviaria",647519,"Mangime a base di Vegetali per 1 mese","PTLZUN37T49S915U"
"2022-01-16",1,"Arboral spiny rat","",647517,"","HXOPFS49O09L860N"
"2022-02-15",1,"Arboral spiny rat","",647507,"","GTRNQS12W82G871H"
"2022-03-17",1,"Arboral spiny rat","",647521,"","SFPKPJ09U63O240C"
"2022-04-16",1,"Arboral spiny rat","",647523,"","UOQAQQ70P22F991L"
"2022-05-03",1,"Arboral spiny rat","Rinotracheite infettiva del bovino (IBR)",647513,"Dieta liquida per 1 mese e poi risentire il Veterinario Curante","ZFOAKJ36I08K413L"
"2022-06-02",1,"Arboral spiny rat","",647514,"","GRWXVM07K57A727R"
"2022-07-02",1,"Arboral spiny rat","",647524,"","RLWBSX60B89K307G"
"2022-08-01",1,"Arboral spiny rat","",647523,"","SDOZRQ24F16Z694M"
"2022-08-31",1,"Arboral spiny rat","",647508,"","BJFCGM55W01H356I"
"2022-09-30",1,"Arboral spiny rat","",647519,"","CFHACW39N88B188Y"
"2022-10-30",1,"Arboral spiny rat","",647519,"","DBEFQA23Q80X119K"
"2022-11-29",1,"Arboral spiny rat","",647521,"","AZVQRE05Q26F968B"
"2022-12-29",1,"Arboral spiny rat","",647510,"","PTLZUN37T49S915U"
"2021-01-19",1,"Owl madagascar hawk","",21004,"","CRPRFQ00X25H955M"
"2021-02-18",1,"Owl madagascar hawk","",20998,"","CBFDND09F91H546K"
"2021-03-20",1,"Owl madagascar hawk","",20996,"","SFPKPJ09U63O240C"
"2021-04-19",1,"Owl madagascar hawk","",21000,"","MCZSYA79M27W095Y"
"2021-05-19",1,"Owl madagascar hawk","",21007,"","EXTHNF29D85P050R"
"2021-06-18",1,"Owl madagascar hawk","",21011,"","XKDHSE52X77W080Z"
"2021-07-18",1,"Owl madagascar hawk","",21000,"","GTRNQS12W82G871H"
"2021-08-17",1,"Owl madagascar hawk","",21010,"","UAYJOG77C56Q827R"
"2021-09-16",1,"Owl madagascar hawk","",20998,"","ICQQFH55P73G575S"
"2021-10-16",1,"Owl madagascar hawk","",20999,"","ZQNFVZ88N58P737Y"
"2021-11-10",1,"Owl madagascar hawk","Malattia emorragica virale del coniglio (MEV/RHD)",20998,"No carne per 2 mesi","TCIEMF28M57K540I"
"2021-12-10",1,"Owl madagascar hawk","Malattia vescicolare dei suini",21013,"Alternare carne nelle settimane dispari e verdure nelle settimane pari","KUCTKZ61T24Y447T"
"2022-01-09",1,"Owl madagascar hawk","",20995,"","AZVQRE05Q26F968B"
"2022-02-04",1,"Owl madagascar hawk","Tubercolosi bovina",21000,"No mangime per i prossimi 2 mesi solo Vegetali","RLWBSX60B89K307G"
"2022-02-26",1,"Owl madagascar hawk","Paratubercolosi o Johne's Disease",21009,"Dieta liquida per 1 mese e poi risentire il Veterinario Curante","RELZWK33P23V293V"
"2022-03-28",1,"Owl madagascar hawk","",21011,"","LSXHKI99G45I261M"
"2022-04-27",1,"Owl madagascar hawk","",21009,"","RZXHMF06C91C657B"
"2022-05-27",1,"Owl madagascar hawk","",20998,"","HIJOOR58D37G603M"
"2022-06-26",1,"Owl madagascar hawk","",21010,"","AENIZK33V73S452W"
"2022-07-26",1,"Owl madagascar hawk","",20996,"","QENHBQ79P95H124I"
"2022-08-25",1,"Owl madagascar hawk","",21011,"","UEESQB52D01C783S"
"2022-09-24",1,"Owl madagascar hawk","",21001,"","VJJKWX04D16K852M"
"2022-10-24",1,"Owl madagascar hawk","Malattia emorragica virale del coniglio (MEV/RHD)",21000,"No mangime per i prossimi 2 mesi solo Vegetali","DBEFQA23Q80X119K"
"2022-11-23",1,"Owl madagascar hawk","",21009,"","CSURHY42I31P326H"
"2022-12-23",1,"Owl madagascar hawk","",21012,"","UBZOGR62T44A438F"
"2023-01-22",1,"Owl madagascar hawk","",21002,"","DBEFQA23Q80X119K"
"2023-02-04",1,"Owl madagascar hawk","BSE (bovine spongiform encephalopathy)",21003,"Dieta liquida per 1 mese e poi risentire il Veterinario Curante","HXOPFS49O09L860N"
"2023-03-06",1,"Owl madagascar hawk","",21009,"","DGNSAO74I34G132X"
"2023-04-05",1,"Owl madagascar hawk","",21000,"","GRWXVM07K57A727R"
"2023-05-05",1,"Owl madagascar hawk","",20996,"","RZXHMF06C91C657B"
"2021-06-25",1,"Great egret","",675938,"","CSURHY42I31P326H"
"2021-07-19",1,"Great egret","Influenza aviaria",675941,"No carne per 2 mesi","YXVNEZ27G41S684L"
"2021-08-18",1,"Great egret","",675943,"","HCMNOI85R50S863N"
"2021-09-17",1,"Great egret","",675935,"","AENIZK33V73S452W"
"2021-10-17",1,"Great egret","",675932,"","MJJYOH26B81U169C"
"2021-11-16",1,"Great egret","",675941,"","HFTZLR42P54I038D"
"2021-12-16",1,"Great egret","",675931,"","NPXWCN73L74H814E"
"2022-01-15",1,"Great egret","",675946,"","RZXHMF06C91C657B"
"2022-02-14",1,"Great egret","West nile disease",675935,"Solo mangime medico per 4 settimane","AZVQRE05Q26F968B"
"2022-03-16",1,"Great egret","",675941,"","JSMTOX87J13M178N"
"2022-04-15",1,"Great egret","",675937,"","IMIZZV64U93B294I"
